69,2161,320,1874
569,1661,820,1374
569,1341,1140,1054
809,1581,1380,814
1009,1781,1580,614
1169,1621,1420,454
1029,1481,1280,314
1029,1601,1160,194
929,1501,1060,94
1029,1501,1160,194
949,1581,1080,274
1029,1501,1160,194
969,1561,1100,254
1029,1501,1160,194
1089,1561,1100,254
1029,1501,1040,194
1029,1541,1080,234
1069,1581,1080,274
1029,1541,1040,234
1069,1581,1040,274
1029,1541,1000,234
1069,1501,1040,274
1029,1541,1080,314
1069,1581,1120,274
1109,1541,1080,234
1089,1521,1060,254
1069,1521,1080,274
1049,1521,1060,274
1069,1501,1080,294
1049,1501,1060,274
1069,1521,1080,294
1049,1501,1060,274
1069,1521,1060,254
1049,1501,1040,274
1069,1521,1060,254
1049,1521,1080,274
1029,1541,1060,294
1049,1521,1060,274
1069,1501,1080,294
1089,1521,1060,274
1069,1501,1040,274
1089,1521,1060,294
1069,1501,1040,294
1089,1521,1060,294
1069,1501,1040,274
1089,1521,1060,274
1069,1521,1040,274
1089,1501,1060,294
1069,1501,1040,294
1089,1521,1060,274
1089,1521,1060,274
